Protocol,Slug,TVL,TVL_on_Chain,Total_Borrows,Total_Deposits,Markets_Count
Euler V2,euler-v2,0,8875448.66459,0,8875448.66459,0
Dolomite,dolomite,0,217788995.77871,0,217788995.77871,0
Sumer.money,sumer.money,0,147645.92693,0,147645.92693,0
Dahlia,dahlia,0,325741.02608,0,325741.02608,0
