Protocol,Slug,TVL,TVL_on_Chain,Total_Borrows,Total_Deposits,Markets_Count
AAVE V3,aave-v3,0,0,0,0,0
JustLend,justlend,0,0,0,0,0
Morpho Blue,morpho-blue,0,0,0,0,0
SparkLend,sparklend,0,0,0,0,0
Kamino Lend,kamino-lend,0,0,0,0,0
