Protocol,Slug,TVL,TVL_on_Chain,Total_Borrows,Total_Deposits,Markets_Count
AAVE V3,aave-v3,0,19835299828.29461,0,19835299828.29461,0
Morpho Blue,morpho-blue,0,2280337293.23508,0,2280337293.23508,0
SparkLend,sparklend,0,3038226701.96844,0,3038226701.96844,0
Compound V3,compound-v3,0,1782456490.04432,0,1782456490.04432,0
Venus Core Pool,venus-core-pool,0,19759823.67078,0,19759823.67078,0
