Protocol,Slug,TVL,TVL_on_Chain,Total_Borrows,Total_Deposits,Markets_Count
Kamino Lend,kamino-lend,0,2183061020.75419,0,2183061020.75419,0
Maple,maple,0,0.0,0,0.0,0
Save,save,0,231262685.95531,0,231262685.95531,0
marginfi Lending,marginfi-lending,0,151207654.09193,0,151207654.09193,0
Rain.fi,rain.fi,0,11503253.43026,0,11503253.43026,0
