Protocol,Slug,TVL,TVL_on_Chain,Total_Borrows,Total_Deposits,Markets_Count
AAVE V3,aave-v3,0,835521833.46496,0,835521833.46496,0
Morpho Blue,morpho-blue,0,904445.65523,0,904445.65523,0
Compound V3,compound-v3,0,138460542.11596,0,138460542.11596,0
Venus Core Pool,venus-core-pool,0,7651490.10824,0,7651490.10824,0
Fluid Lending,fluid-lending,0,79648695.63589,0,79648695.63589,0
